"Materia","Ano","Ranking"
"Biología","2011",4
"Filosofía","2011",8
"Física","2011",5
"Inglés","2011",7
"Lenguaje","2011",1.5
"Matemáticas","2011",1.5
"Química","2011",3
"Sociales","2011",6
"Biología","2012",4
"Filosofía","2012",8
"Física","2012",5
"Inglés","2012",7
"Lenguaje","2012",1
"Matemáticas","2012",3
"Química","2012",2
"Sociales","2012",6
"Biología","2013",4
"Filosofía","2013",8
"Física","2013",6
"Inglés","2013",7
"Lenguaje","2013",1
"Matemáticas","2013",3
"Química","2013",2
"Sociales","2013",5
"Biología","2014",5
"Filosofía","2014",8
"Física","2014",7
"Inglés","2014",2
"Lenguaje","2014",3
"Matemáticas","2014",1
"Química","2014",6
"Sociales","2014",4
