"Programa","2008","2009","2010","2013","2014"
"Administración de Empresas - Nocturna ",962,953,1498,2407,2287
"Contaduría Pública - Nocturna",1143,757,1886,3200,2849
"Derecho  Diurna- Neiva",982,564,902,1373,1277
"Ingeniería Agrícola - Neiva",619,394,631,1808,1853
"Ingeniería Electrónica",867,526,966,1327,1235
"Ingeniería de Petróleos",904,570,935,1388,1214
"Licenciatura en Educación Básica Con énfasis en Educación Física Recreación y Deportes ",813,514,797,1014,1049
"Licenciatura en Pedagogía Infantil",787,429,859,1258,1153
"Medicina",1002,631,915,1421,1381
"Psicología - Neiva",841,494,781,1226,1210
